Name,Setter,Ascensionist Count,Angle,V Grade,Holds
Alex puccio,kolbynix,159,15,2,"[[(72, 8), 'Feet'], [(48, 16), 'Feet'], [(72, 40), 'Starting'], [(56, 48), 'Starting'], [(72, 64), 'Feet'], [(64, 80), 'Hand'], [(48, 96), 'Hand'], [(48, 120), 'Hand'], [(48, 144), 'Finish'], [(76, 44), 'Feet']]"
bph91,brianharrington,83,40,6,"[[(136, 16), 'Feet'], [(120, 56), 'Starting'], [(80, 64), 'Hand'], [(112, 72), 'Hand'], [(104, 80), 'Hand'], [(48, 88), 'Hand'], [(80, 96), 'Hand'], [(64, 120), 'Hand'], [(32, 128), 'Hand'], [(40, 152), 'Finish'], [(108, 44), 'Feet'], [(108, 60), 'Starting']]"
Grant guy,clairemcelroy,81,20,2,"[[(48, 8), 'Feet'], [(56, 16), 'Feet'], [(32, 48), 'Starting'], [(48, 48), 'Starting'], [(32, 72), 'Feet'], [(64, 72), 'Hand'], [(96, 72), 'Feet'], [(48, 88), 'Hand'], [(72, 96), 'Hand'], [(96, 104), 'Hand'], [(96, 128), 'Finish'], [(112, 128), 'Finish']]"
hogwarts express,kchavez909,477,15,3,"[[(80, 8), 'Feet'], [(64, 8), 'Feet'], [(72, 40), 'Starting'], [(72, 48), 'Feet'], [(104, 48), 'Feet'], [(48, 72), 'Feet'], [(88, 80), 'Hand'], [(56, 96), 'Hand'], [(72, 96), 'Hand'], [(104, 104), 'Feet'], [(64, 112), 'Hand'], [(88, 128), 'Hand'], [(88, 152), 'Finish']]"
Pineapples are in my head,beachesrockgym,197,20,4,"[[(128, 40), 'Starting'], [(96, 56), 'Hand'], [(112, 72), 'Hand'], [(88, 96), 'Hand'], [(88, 104), 'Hand'], [(64, 112), 'Hand'], [(40, 128), 'Hand'], [(48, 152), 'Finish'], [(116, 4), 'Feet'], [(60, 44), 'Feet'], [(68, 84), 'Feet']]"
Oh Jerry,importedbean,299,0,2,"[[(80, 32), 'Starting'], [(56, 40), 'Starting'], [(88, 64), 'Hand'], [(48, 88), 'Hand'], [(88, 104), 'Hand'], [(72, 128), 'Hand'], [(96, 152), 'Finish'], [(60, 4), 'Feet'], [(92, 28), 'Feet'], [(68, 52), 'Feet'], [(60, 76), 'Feet']]"
como sería??,DiegoArevaloB92,63,40,6,"[[(48, 32), 'Starting'], [(88, 48), 'Starting'], [(48, 80), 'Hand'], [(48, 88), 'Hand'], [(88, 112), 'Hand'], [(88, 120), 'Hand'], [(80, 144), 'Hand'], [(48, 152), 'Finish'], [(60, 4), 'Feet'], [(28, 4), 'Feet'], [(108, 76), 'Feet'], [(76, 92), 'Hand'], [(52, 100), 'Feet']]"
the G.O.A.T,fyzxe,91,40,5,"[[(104, 8), 'Feet'], [(104, 40), 'Starting'], [(96, 48), 'Starting'], [(112, 80), 'Hand'], [(80, 104), 'Hand'], [(120, 104), 'Hand'], [(104, 136), 'Hand'], [(80, 152), 'Finish'], [(124, 44), 'Feet'], [(92, 60), 'Feet'], [(84, 68), 'Feet'], [(68, 116), 'Feet']]"
Sure 2,KilterStudio,65,0,0,"[[(96, 16), 'Feet'], [(80, 32), 'Feet'], [(48, 40), 'Feet'], [(120, 40), 'Starting'], [(136, 40), 'Starting'], [(96, 48), 'Hand'], [(40, 64), 'Feet'], [(56, 64), 'Hand'], [(112, 64), 'Hand'], [(88, 72), 'Hand'], [(88, 80), 'Hand'], [(56, 96), 'Hand'], [(72, 112), 'Hand'], [(72, 136), 'Hand'], [(72, 152), 'Finish'], [(140, 4), 'Feet'], [(108, 4), 'Feet']]"
This One’s For CVG 💗,GirthQuake,53,20,5,"[[(40, 16), 'Feet'], [(72, 16), 'Feet'], [(64, 24), 'Starting'], [(56, 56), 'Hand'], [(16, 80), 'Hand'], [(16, 104), 'Hand'], [(48, 120), 'Hand'], [(56, 128), 'Hand'], [(72, 152), 'Finish'], [(84, 4), 'Feet'], [(44, 28), 'Feet'], [(4, 36), 'Feet'], [(36, 52), 'Hand'], [(20, 100), 'Hand']]"
Omg I can’t!,will_avelar,61,0,3,"[[(56, 16), 'Feet'], [(32, 40), 'Starting'], [(48, 48), 'Starting'], [(48, 80), 'Hand'], [(40, 88), 'Hand'], [(96, 96), 'Feet'], [(72, 136), 'Hand'], [(72, 152), 'Finish']]"
Dan 1,angienbrown96,40,25,3,"[[(80, 8), 'Feet'], [(64, 16), 'Feet'], [(64, 32), 'Starting'], [(88, 48), 'Starting'], [(56, 64), 'Hand'], [(112, 64), 'Feet'], [(96, 80), 'Hand'], [(64, 88), 'Hand'], [(104, 96), 'Hand'], [(80, 104), 'Hand'], [(96, 136), 'Hand'], [(112, 152), 'Finish']]"
SNZN Ramen,myleswamsley,517,10,4,"[[(80, 16), 'Starting'], [(48, 32), 'Starting'], [(48, 72), 'Hand'], [(16, 96), 'Hand'], [(64, 112), 'Hand'], [(88, 112), 'Hand'], [(48, 120), 'Hand'], [(104, 152), 'Finish'], [(44, 4), 'Feet'], [(84, 36), 'Feet'], [(4, 52), 'Feet'], [(76, 76), 'Feet']]"
Preserved Underneath,ksmd,46,45,5,"[[(56, 24), 'Feet'], [(40, 32), 'Starting'], [(48, 64), 'Hand'], [(96, 64), 'Feet'], [(48, 80), 'Hand'], [(80, 96), 'Hand'], [(112, 112), 'Feet'], [(88, 120), 'Hand'], [(120, 120), 'Hand'], [(120, 144), 'Hand'], [(136, 152), 'Finish'], [(52, 4), 'Feet'], [(116, 84), 'Feet'], [(140, 92), 'Feet']]"
seriously its not an eliminant,prinsnathan,157,40,6,"[[(48, 32), 'Starting'], [(64, 40), 'Starting'], [(72, 80), 'Hand'], [(64, 104), 'Hand'], [(96, 104), 'Hand'], [(88, 128), 'Hand'], [(104, 128), 'Hand'], [(88, 152), 'Finish'], [(44, 4), 'Feet'], [(76, 44), 'Feet'], [(116, 84), 'Feet']]"
